poll_id,pollster,state,methodology,start_date,end_date,sample_size,party,answer,pct
89290,Patriot Polling,Pennsylvania,IVR/Text-to-Web,11/1/24,11/3/24,903,REP,Trump,49.6
89291,Patriot Polling,Michigan,IVR/Text-to-Web,11/1/24,11/3/24,858,REP,Trump,48.5
89292,Patriot Polling,Wisconsin,IVR/Text-to-Web,11/1/24,11/3/24,835,REP,Trump,48.7
89293,Patriot Polling,North Carolina,IVR/Text-to-Web,11/1/24,11/3/24,799,REP,Trump,50.5
89294,Patriot Polling,Georgia,IVR/Text-to-Web,11/1/24,11/3/24,818,REP,Trump,50.4
89295,Patriot Polling,Arizona,IVR/Text-to-Web,11/1/24,11/3/24,801,REP,Trump,51.1
89296,Patriot Polling,Nevada,IVR/Text-to-Web,11/1/24,11/3/24,792,REP,Trump,49.5
89306,Trafalgar Group,Pennsylvania,IVR/Live Phone/Text/Online Panel/Email,11/1/24,11/3/24,1089,REP,Trump,48.4
89240,Emerson,Iowa,IVR/Online Panel,11/1/24,11/2/24,800,REP,Trump,53.9
89244,AtlasIntel,Arizona,Online Ad,11/1/24,11/2/24,967,REP,Trump,51.9
89244,AtlasIntel,Arizona,Online Ad,11/1/24,11/2/24,967,REP,Trump,52.3
89245,AtlasIntel,Georgia,Online Ad,11/1/24,11/2/24,1174,REP,Trump,48.6
89245,AtlasIntel,Georgia,Online Ad,11/1/24,11/2/24,1174,REP,Trump,50.1
89246,AtlasIntel,Michigan,Online Ad,11/1/24,11/2/24,1198,REP,Trump,49.3
89246,AtlasIntel,Michigan,Online Ad,11/1/24,11/2/24,1198,REP,Trump,49.7
89247,AtlasIntel,Wisconsin,Online Ad,11/1/24,11/2/24,728,REP,Trump,49.3
89247,AtlasIntel,Wisconsin,Online Ad,11/1/24,11/2/24,728,REP,Trump,49.6
89248,AtlasIntel,Pennsylvania,Online Ad,11/1/24,11/2/24,2049,REP,Trump,49.1
89248,AtlasIntel,Pennsylvania,Online Ad,11/1/24,11/2/24,2049,REP,Trump,49.6
89249,AtlasIntel,North Carolina,Online Ad,11/1/24,11/2/24,1310,REP,Trump,50.4
89249,AtlasIntel,North Carolina,Online Ad,11/1/24,11/2/24,1310,REP,Trump,50.5
89250,AtlasIntel,Nevada,Online Ad,11/1/24,11/2/24,782,REP,Trump,51.4
89250,AtlasIntel,Nevada,Online Ad,11/1/24,11/2/24,782,REP,Trump,51.5
89274,Siena/NYT,Michigan,Live Phone,10/29/24,11/2/24,998,REP,Trump,47
89274,Siena/NYT,Michigan,Live Phone,10/29/24,11/2/24,998,REP,Trump,44
89274,Siena/NYT,Michigan,Live Phone,10/29/24,11/2/24,998,REP,Trump,47
89274,Siena/NYT,Michigan,Live Phone,10/29/24,11/2/24,998,REP,Trump,45
89275,Siena/NYT,Pennsylvania,Live Phone,10/29/24,11/2/24,1527,REP,Trump,48
89275,Siena/NYT,Pennsylvania,Live Phone,10/29/24,11/2/24,1527,REP,Trump,47
89275,Siena/NYT,Pennsylvania,Live Phone,10/29/24,11/2/24,1527,REP,Trump,48
89275,Siena/NYT,Pennsylvania,Live Phone,10/29/24,11/2/24,1527,REP,Trump,47
89297,U. New Hampshire,New Hampshire,Probability Panel,10/29/24,11/2/24,2814,REP,Trump,46
89298,U. New Hampshire,Maine,Probability Panel,10/29/24,11/2/24,1485,REP,Trump,41
89299,U. New Hampshire,Massachusetts,Probability Panel,10/29/24,11/2/24,744,REP,Trump,34
89300,U. New Hampshire,Rhode Island,Probability Panel,10/29/24,11/2/24,708,REP,Trump,40
89307,U. New Hampshire,Vermont,Probability Panel,10/29/24,11/2/24,1167,REP,Trump,31
