poll_id,pollster,state,methodology,start_date,end_date,sample_size,party,answer,pct
1,Gallup,Pennsylvania,Mixed Mode,2024-04-21,2024-04-28,551,DEM,Trump,48.36669438984245
2,Pew Research,Tennessee,Telephone,2024-04-12,2024-04-25,766,DEM,Trump,45.36217828746885
3,Gallup,Wisconsin,Telephone,2024-10-18,2024-10-21,1336,REP,Trump,43.50283129606396
4,YouGov,New Jersey,Online Panel,2024-08-19,2024-08-26,853,REP,Trump,48.06389597710222
5,YouGov,West Virginia,Telephone,2024-02-19,2024-03-02,1126,DEM,Trump,42.1652799192816
6,Gallup,Nevada,Mixed Mode,2024-06-10,2024-06-19,1132,REP,Trump,53.87568216305226
7,Ipsos,Utah,Telephone,2024-03-06,2024-03-19,1354,REP,Trump,52.37317326012999
8,Ipsos,Nevada,Online Panel,2024-07-06,2024-07-08,1056,IND,Trump,59.16409758385271
9,Pew Research,Georgia,Online Panel,2024-10-14,2024-10-26,974,DEM,Trump,46.35751223191619
10,Pew Research,Michigan,Online Panel,2024-05-24,2024-05-25,616,DEM,Trump,53.186283367685974
11,Pew Research,Kentucky,Telephone,2024-03-19,2024-03-26,999,REP,Trump,56.87259575817734
12,YouGov,Wisconsin,Telephone,2024-06-03,2024-06-08,1223,DEM,Trump,48.619656804949045
13,Gallup,Vermont,Online Panel,2024-03-08,2024-03-14,956,REP,Trump,50.54446236696094
14,Pew Research,Kentucky,Online Panel,2024-08-17,2024-08-25,895,IND,Trump,48.35407353006303
15,YouGov,California,Telephone,2024-02-11,2024-02-17,1487,DEM,Trump,54.773860168643296
16,YouGov,Texas,Online Panel,2024-02-09,2024-02-21,848,IND,Trump,46.49999898392707
17,Pew Research,Alabama,Telephone,2024-04-19,2024-04-24,1445,REP,Trump,58.80362770520151
18,Pew Research,Pennsylvania,Online Panel,2024-03-19,2024-03-24,1011,REP,Trump,50.246228473261
19,Pew Research,California,Telephone,2024-09-13,2024-09-18,1477,DEM,Trump,40.89408878237009
20,YouGov,Kansas,Mixed Mode,2024-02-20,2024-02-26,766,IND,Trump,55.16552576329559
21,Pew Research,Oklahoma,Online Panel,2024-08-16,2024-08-21,812,DEM,Trump,50.94421384856105
22,YouGov,New York,Mixed Mode,2024-02-23,2024-03-01,1218,IND,Trump,44.55071930307895
23,Ipsos,Michigan,Telephone,2024-05-09,2024-05-20,538,DEM,Trump,43.684969427995384
24,Gallup,North Dakota,Mixed Mode,2024-06-12,2024-06-16,1293,REP,Trump,53.83618437219411
25,Pew Research,Maine,Telephone,2024-04-27,2024-05-08,721,DEM,Trump,48.62459987401962
26,Ipsos,Hawaii,Telephone,2024-01-09,2024-01-17,716,IND,Trump,56.14631473086774
27,Ipsos,Mississippi,Mixed Mode,2024-05-30,2024-06-09,1037,REP,Trump,52.552183056250215
28,Ipsos,South Dakota,Telephone,2024-08-16,2024-08-28,677,DEM,Trump,54.85434677451849
29,Ipsos,Wyoming,Mixed Mode,2024-09-27,2024-10-05,1349,REP,Trump,53.39159399271011
30,YouGov,Virginia,Mixed Mode,2024-09-01,2024-09-10,923,DEM,Trump,58.785519753582776
31,YouGov,South Carolina,Telephone,2024-03-06,2024-03-14,1052,REP,Trump,40.26957558467984
32,Gallup,Maryland,Online Panel,2024-09-20,2024-09-30,948,DEM,Trump,55.960183129645884
33,Gallup,North Carolina,Online Panel,2024-09-19,2024-09-23,867,REP,Trump,57.88022282067686
34,Gallup,Pennsylvania,Online Panel,2024-04-01,2024-04-05,1177,DEM,Trump,56.45882414653897
35,Pew Research,Texas,Mixed Mode,2024-08-26,2024-08-29,1473,DEM,Trump,59.01323421858251
36,Ipsos,Wyoming,Telephone,2024-03-28,2024-03-29,1444,DEM,Trump,45.01662051305175
37,YouGov,Wyoming,Telephone,2024-09-19,2024-09-28,1034,DEM,Trump,44.11694839131087
38,Gallup,West Virginia,Mixed Mode,2024-02-23,2024-03-07,1107,IND,Trump,47.07683178130537
39,Ipsos,Connecticut,Telephone,2024-04-18,2024-05-01,1047,REP,Trump,42.49057980719954
40,Gallup,Connecticut,Mixed Mode,2024-08-02,2024-08-14,990,DEM,Trump,55.42095191311091
41,Ipsos,Nevada,Telephone,2024-08-18,2024-09-01,1300,DEM,Trump,54.33277243748307
42,Ipsos,Missouri,Online Panel,2024-09-05,2024-09-18,973,IND,Trump,43.42006434686482
43,Gallup,Illinois,Telephone,2024-03-12,2024-03-15,985,REP,Trump,42.60563571471721
44,Gallup,Mississippi,Online Panel,2024-05-23,2024-05-31,1163,IND,Trump,48.282190286554396
